ds,y
2024-04-13 06:45:13.700374,203
2024-04-13 06:49:23.700374,203
2024-04-13 06:53:33.700374,243
2024-04-13 06:57:43.700374,210
2024-04-13 07:01:53.700374,201
2024-04-13 07:06:03.700374,213
2024-04-13 07:10:13.700374,198
2024-04-13 07:14:23.700374,189
2024-04-13 07:18:33.700374,186
2024-04-13 07:22:43.700374,201
2024-04-13 07:26:53.700374,162
2024-04-13 07:31:03.700374,186
2024-04-13 07:35:13.700374,178
2024-04-13 07:39:23.700374,162
2024-04-13 07:43:33.700374,200
2024-04-13 07:47:43.700374,187
2024-04-13 07:51:53.700374,185
2024-04-13 07:56:03.700374,190
2024-04-13 08:00:13.700374,191
2024-04-13 08:04:23.700374,161
2024-04-13 08:08:33.700374,191
2024-04-13 08:12:43.700374,174
2024-04-13 08:16:53.700374,204
2024-04-13 08:21:03.700374,163
2024-04-13 08:25:13.700374,178
2024-04-13 08:29:23.700374,178
2024-04-13 08:33:33.700374,181
2024-04-13 08:37:43.700374,174
2024-04-13 08:41:53.700374,161
2024-04-13 08:46:03.700374,189
2024-04-13 08:50:13.700374,176
2024-04-13 08:54:23.700374,178
2024-04-13 08:58:33.700374,189
2024-04-13 09:02:43.700374,170
2024-04-13 09:06:53.700374,187
2024-04-13 09:11:03.700374,180
2024-04-13 09:15:13.700374,180
2024-04-13 09:19:23.700374,175
2024-04-13 09:23:33.700374,185
2024-04-13 09:27:43.700374,189
2024-04-13 09:31:53.700374,177
2024-04-13 09:36:03.700374,179
2024-04-13 09:40:13.700374,153
2024-04-13 09:44:23.700374,176
2024-04-13 09:48:33.700374,178
2024-04-13 09:52:43.700374,174
2024-04-13 09:56:53.700374,195
2024-04-13 10:01:03.700374,189
2024-04-13 10:05:13.700374,191
2024-04-13 10:09:23.700374,174
2024-04-13 10:13:33.700374,156
2024-04-13 10:17:43.700374,170
2024-04-13 10:21:53.700374,186
2024-04-13 10:26:03.700374,169
2024-04-13 10:30:13.700374,186
2024-04-13 10:34:23.700374,161
2024-04-13 10:38:33.700374,186
2024-04-13 10:42:43.700374,170
2024-04-13 10:46:53.700374,182
2024-04-13 10:51:03.700374,195
2024-04-13 10:55:13.700374,221
2024-04-13 10:59:23.700374,179
2024-04-13 11:03:33.700374,188
2024-04-13 11:07:43.700374,199
2024-04-13 11:11:53.700374,182
2024-04-13 11:16:03.700374,188
2024-04-13 11:20:13.700374,190
2024-04-13 11:24:23.700374,193
2024-04-13 11:28:33.700374,174
2024-04-13 11:32:43.700374,152
2024-04-13 11:36:53.700374,157
2024-04-13 11:41:03.700374,166
2024-04-13 11:45:13.700374,192
2024-04-13 11:49:23.700374,184
2024-04-13 11:53:33.700374,154
2024-04-13 11:57:43.700374,149
2024-04-13 12:01:53.700374,178
2024-04-13 12:06:03.700374,221
2024-04-13 12:10:13.700374,218
2024-04-13 12:14:23.700374,198
2024-04-13 12:18:33.700374,209
2024-04-13 12:22:43.700374,220
2024-04-13 12:26:53.700374,203
2024-04-13 12:31:03.700374,227
2024-04-13 12:35:13.700374,190
2024-04-13 12:39:23.700374,214
2024-04-13 12:43:33.700374,200
2024-04-13 12:47:43.700374,216
2024-04-13 12:51:53.700374,188
2024-04-13 12:56:03.700374,151
2024-04-13 13:00:13.700374,177
2024-04-13 13:04:23.700374,170
2024-04-13 13:08:33.700374,181
2024-04-13 13:12:43.700374,192
2024-04-13 13:16:53.700374,184
2024-04-13 13:21:03.700374,192
2024-04-13 13:25:13.700374,186
2024-04-13 13:29:23.700374,187
2024-04-13 13:33:33.700374,183
2024-04-13 13:37:43.700374,205
2024-04-13 13:41:53.700374,205
2024-04-13 13:46:03.700374,195
2024-04-13 13:50:13.700374,205
2024-04-13 13:54:23.700374,190
2024-04-13 13:58:33.700374,202
2024-04-13 14:02:43.700374,203
2024-04-13 14:06:53.700374,201
2024-04-13 14:11:03.700374,202
2024-04-13 14:15:13.700374,214
2024-04-13 14:19:23.700374,212
2024-04-13 14:23:33.700374,217
2024-04-13 14:27:43.700374,203
2024-04-13 14:31:53.700374,224
2024-04-13 14:36:03.700374,190
2024-04-13 14:40:13.700374,202
2024-04-13 14:44:23.700374,186
2024-04-13 14:48:33.700374,186
2024-04-13 14:52:43.700374,180
2024-04-13 14:56:53.700374,186
2024-04-13 15:01:03.700374,186
2024-04-13 15:05:13.700374,178
2024-04-13 15:09:23.700374,193
2024-04-13 15:13:33.700374,179
2024-04-13 15:17:43.700374,183
2024-04-13 15:21:53.700374,197
2024-04-13 15:26:03.700374,187
2024-04-13 15:30:13.700374,202
2024-04-13 15:34:23.700374,187
2024-04-13 15:38:33.700374,190
2024-04-13 15:42:43.700374,199
2024-04-13 15:46:53.700374,210
2024-04-13 15:51:03.700374,178
2024-04-13 15:55:13.700374,187
2024-04-13 15:59:23.700374,173
2024-04-13 16:03:33.700374,194
2024-04-13 16:07:43.700374,204
2024-04-13 16:11:53.700374,196
2024-04-13 16:16:03.700374,177
2024-04-13 16:20:13.700374,174
2024-04-13 16:24:23.700374,190
